HID,TYPE,DIAMETRE,X,Y,ADRESSE,REPERES,ETAT,DEPARTEMENT,PAYS
1,Bouche incendie  ,100 mm,238265,1623136,Rue Parchappe Ex huart ,sous immeuble FAYCAL,Fonctionnel,Dakar,Senegal
2,Bouche incendie  ,100 mm,238189,1623023,Rue Carnot ,hauteur hôtel Pullman (ex Teranga),Fonctionnel,Dakar,Senegal
3,Bouche incendie  ,100 mm,237405,1622897,Rue Félix Faure X Mass DIOKHANE ,hauteur DAF/MINT,Fonctionnel,Dakar,Senegal
4,Bouche incendie  ,100 mm,237257,1622743,Rue René NDIAYE ,hauteur école Douane face Ministère des Finances,Fonctionnel,Dakar,Senegal
5,Bouche incendie  ,100 mm,237394,1622476,Avenue Nelson MANDELA ,hauteur Assemblée Nationale face  IFAN,Fonctionnel,Dakar,Senegal
6,Bouche incendie  ,100 mm,237806,1623160,Rue Mouhamed 05 X George Pompidou ,hauteur restaurant Ali Baba,Fonctionnel,Dakar,Senegal
7,Bouche incendie  ,100 mm,237433,1622081,Avenue des Diambars ,"hauteur cité des officiers face immeuble rose, Rue Marshal",Fonctionnel,Dakar,Senegal
8,Bouche incendie  ,100 mm,237521,1624304,Avenue Lamine GUEYE ,hauteur du Rail  en face Intendance,Fonctionnel,Dakar,Senegal
9,Bouche incendie  ,100 mm,237514,1622252,Avenue Pasteur ,hauteur Ambassade Allemagne,Fonctionnel,Dakar,Senegal
10,Bouche incendie  ,100 mm,237530,1622264,Avenue Pasteur ,hauteur Ambassade Allemagne,Fonctionnel,Dakar,Senegal
11,Poteau incendie ,2 X60 / 100 mm,238298,1623364,Rue de Thann 15 Boulevard Djily MBAYE ,immeuble Kheweul en face saveur d’Asie ASCOM (PI) 02  (privée),Fonctionnel,Dakar,Senegal
12,Poteau incendie ,2 X60 / 100 mm,238317,1623378,Rue de Thann 15 Boulevard Djily MBAYE ,immeuble Kheweul en face saveur d’Asie ASCOM (PI) 02  (privée),Fonctionnel,Dakar,Senegal
13,Bouche incendie  ,100 mm,237784,1627382,Route de Rufisque,Hauteur pharmacie (potou) face S.O.A bois,Fonctionnel,Dakar,Senegal
14,Bouche incendie  ,100 mm,238599,1626834,Rue HB-176 Hann bel air cite ISRA 2 ,hauteur centre de recherche Bel Air,Fonctionnel,Dakar,Senegal
15,Bouche incendie  ,100 mm,238854,1631170,HLM Hann Mariste 1 Rue HB-419, tout près école franco Arabe IBN Abass SALL maison 212 non loin immeuble Lionne F,Fonctionnel,Dakar,Senegal
